source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,experiment,scope,seed,budget
reid,initial_z,20,20,20,0.6894782878763173,0.0879809068194384,0.0392619338029476,latent_low_data_update_matched,shared3,123,one_trajectory
reid,observed_prefix,20,20,20,0.9449325248785692,0.0403704499285837,0.0392619338029476,latent_low_data_update_matched,shared3,123,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,-0.041565955739178,0.337998966143656,0.1309363081666797,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,-0.0671867156013139,0.3368698204745448,0.1309363081666797,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9682475878919626,0.0483065208389874,0.1309363081666797,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,-0.0378196060139346,0.3268587202712217,0.1264354805514444,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,-0.0322972516954611,0.3265849966685683,0.1264354805514444,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.0981101044305367,0.2903334083789227,0.1264354805514444,latent_low_data_update_matched,shared3,123,thirty_trajectories
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data_update_matched,shared3,123,thirty_trajectories
reid,initial_pc1,20,20,20,0.0317276371346653,0.1731671820961824,0.0392619338029476,latent_low_data_update_matched,shared3,123,thirty_trajectories
reid,initial_z,20,20,20,0.0928837690339521,0.1669326911444511,0.0392619338029476,latent_low_data_update_matched,shared3,123,thirty_trajectories
reid,observed_prefix,20,20,20,0.9421168312502952,0.0382159645267265,0.0392619338029476,latent_low_data_update_matched,shared3,123,thirty_trajectories
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data_update_matched,shared3,456,one_trajectory
depablo_low_temp,initial_pc1,20,20,20,0.96499529382567,0.05439736647154,0.1309363081666797,latent_low_data_update_matched,shared3,456,one_trajectory
depablo_low_temp,initial_z,20,20,20,0.9661113383404044,0.0527894709643899,0.1309363081666797,latent_low_data_update_matched,shared3,456,one_trajectory
