source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,experiment,scope,seed
depablo_low_temp,100,ae,20,1.1556594949979626e-05,7.601526863254548e-06,1.551166392346204e-05,20,20,-0.3852073737633821,0.3854449247417505,0.1299516855584822,20,20,-0.3857961877190745,0.3869451043161599,0.1309363081666797,0.003324417,0.0056316163,latent_low_data_update_matched,shared3,786
depablo_mixed_temp,0,ae,20,2.5946178112690177e-06,4.760949082083243e-06,4.282865305071937e-07,0,0,,,,0,0,,,,0.0036492706,0.0008940065,latent_low_data_update_matched,shared3,786
depablo_mixed_temp,10,ae,20,1.7108551089961567e-05,1.6649690448389264e-05,1.7567410888830182e-05,20,20,-0.2669802551210565,1.0035857941024005,3.0043239701009563,20,20,-0.2728433947292801,0.3828727459985829,0.1792210970466572,0.002107021,0.0012731461,latent_low_data_update_matched,shared3,786
depablo_mixed_temp,50,ae,20,1.9321401725846955e-05,1.728823489202114e-05,2.1354567250853053e-05,20,20,-0.3339071976852161,0.3398091172100976,0.1274876421800012,20,20,-0.3363298353841542,0.3414568415759313,0.1290510646927359,0.001621243,0.0023918797,latent_low_data_update_matched,shared3,786
depablo_mixed_temp,100,ae,20,2.974040808112477e-05,2.6392036170364007e-05,3.3088780992329705e-05,20,20,-0.3135828174171944,0.3507077462680172,0.1249158133632106,20,20,-0.3152037347080703,0.352543508462507,0.1264354805514444,0.0037607737,0.005057847,latent_low_data_update_matched,shared3,786
reid,0,ae,20,1.199934587248208e-06,2.218845168044936e-06,1.810240437549737e-07,0,0,,,,0,0,,,,0.0025871734,0.00056795997,latent_low_data_update_matched,shared3,786
reid,10,ae,20,6.17550869463912e-07,1.005765093964328e-06,2.293365991334895e-07,20,20,-0.7832394259406164,0.192673165583983,0.0283570467788776,20,20,-0.7823987015988001,0.1926307561256436,0.0283466184553629,0.0017122843,0.00053338474,latent_low_data_update_matched,shared3,786
reid,50,ae,20,2.5680135536276795e-06,3.591667643831897e-06,1.5443594122643843e-06,20,20,0.2450939698450404,0.1464974713904666,0.0367468043569681,20,20,0.2454455434178748,0.146486014553501,0.03674579830514,0.001218305,0.0011144851,latent_low_data_update_matched,shared3,786
reid,100,ae,20,1.3160862090444424e-05,1.8008001097769012e-05,8.313723083119839e-06,20,20,-0.3723457896926667,0.1814710875041782,0.0392620598956476,20,20,-0.3720779409192514,0.1814822763861366,0.0392619338029476,0.0027812996,0.0023669195,latent_low_data_update_matched,shared3,786
depablo_low_temp,0,ae,20,9.784109167298991e-07,1.837860645537148e-06,1.1896118206067285e-07,0,0,,,,0,0,,,,0.0022876163,0.00052938046,latent_low_data_update_matched,shared4,123
depablo_low_temp,10,ae,20,4.5743946888165963e-07,6.526431938880251e-07,2.622357460957403e-07,20,20,-0.770292598201566,0.3231077324133366,0.0884626710061093,20,20,-0.7709062574868697,0.3242648474989359,0.0890919672458267,0.0012631394,0.0006727456,latent_low_data_update_matched,shared4,123
