comparison,source,latent_dim,reference_dim,seed,new_context,old_reference_dim,old_context,new_valid,old_valid,new_total,old_total,delta_position_mse,delta_response_mae,delta_response_r2
reduce_reference,depablo_mixed_temp,4,16,2026,16,96,16,20,20,20,20,-5.870186896572298e-08,-0.014628119442319232,0.03358395267511938
reduce_reference,reid,4,16,2026,16,96,16,20,20,20,20,7.697863338762531e-07,-0.022898215597141475,0.10395168102933727
remove_context_same_ae,depablo_low_temp,2,8,3456456,0,8,16,20,20,20,20,8.943202703903808e-06,0.1249940477780306,-0.36303330692343583
combine,depablo_low_temp,2,8,3456456,0,96,16,20,20,20,20,1.391874891965017e-05,0.17239521050358902,-0.4870212194760596
remove_context_same_ae,depablo_mixed_temp,2,8,3456456,0,8,16,20,20,20,20,1.830956480262103e-05,0.1921553068820393,-0.6691969050048113
combine,depablo_mixed_temp,2,8,3456456,0,96,16,20,20,20,20,2.3421186074301663e-05,0.22681536203198993,-0.7327910267256352
remove_context_same_ae,reid,2,8,3456456,0,8,16,20,20,20,20,1.32689433712585e-05,0.17333903196289913,-2.4959413895962568
combine,reid,2,8,3456456,0,96,16,20,20,20,20,1.717340917366528e-05,0.19400146647747854,-2.577398906088571
reduce_reference,depablo_low_temp,2,8,3456456,16,96,16,20,20,20,20,4.975546215746362e-06,0.04740116272555843,-0.12398791255262376
reduce_reference,depablo_mixed_temp,2,8,3456456,16,96,16,20,20,20,20,5.111621271680632e-06,0.03466005514995062,-0.0635941217208239
reduce_reference,reid,2,8,3456456,16,96,16,20,20,20,20,3.90446580240678e-06,0.020662434514579414,-0.08145751649231447
remove_context_same_ae,depablo_low_temp,2,8,123,0,8,16,20,20,20,20,1.0475238730123239e-05,0.17419161835511576,-0.5969319228828825
combine,depablo_low_temp,2,8,123,0,96,16,20,20,20,20,1.2467139606542334e-05,0.1646255326444137,-0.5803861793831235
remove_context_same_ae,depablo_mixed_temp,2,8,123,0,8,16,20,20,20,20,1.850379164807236e-05,0.20659982504743626,-0.8236929227168047
combine,depablo_mixed_temp,2,8,123,0,96,16,20,20,20,20,1.9523901892171124e-05,0.22823610770486547,-0.8308088637636235
