source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,kind,dimension,seed
depablo_low_temp,75,20,20,0.9650475275057262,0.053443234731513,0.1271388104990921,ae,2,456
depablo_low_temp,100,20,20,0.9580936053364154,0.0544657559496092,0.1309363081666797,ae,2,456
depablo_mixed_temp,5,20,20,0.2328813269161366,0.338788037676143,0.2267994575756468,ae,2,456
depablo_mixed_temp,10,20,20,0.3058421082133012,0.2522439957481744,0.1792210970466572,ae,2,456
depablo_mixed_temp,25,20,20,0.0403684425069701,0.2769611860734558,0.1814265265332104,ae,2,456
depablo_mixed_temp,50,20,20,0.5366873744954603,0.1593025621163689,0.1290510646927359,ae,2,456
depablo_mixed_temp,75,20,20,0.797191267752409,0.1153103716548478,0.1721180025747532,ae,2,456
depablo_mixed_temp,100,20,20,0.8516195752969389,0.1092847668119278,0.1264354805514444,ae,2,456
lj_noisy,5,20,20,-35.17283040028863,0.1993808467986853,0.0012192600578043,ae,2,456
lj_noisy,10,20,20,-19.35582480058537,0.1959513352131759,0.0021538442446725,ae,2,456
lj_noisy,25,20,20,-9.189190568265836,0.1862027826228661,0.0041168599721615,ae,2,456
lj_noisy,50,20,20,-5.584844860779925,0.1567573827495179,0.0047651600463273,ae,2,456
lj_noisy,75,20,20,-2.3138708007635502,0.1066608577185726,0.0050961142073924,ae,2,456
lj_noisy,100,20,20,-1.2626707333236866,0.0869637485242967,0.0053100823581802,ae,2,456
reid,5,20,20,-0.6800361882340802,0.1663422892616387,0.0215407678341569,rollout,2,456
reid,10,20,20,-0.5238116765998242,0.1786907265688197,0.0283466184553629,rollout,2,456
reid,25,20,20,-0.19209712564232,0.1709794664224481,0.0340742914742546,rollout,2,456
reid,50,20,20,0.4123039354122944,0.1295109251905891,0.03674579830514,rollout,2,456
reid,75,20,20,0.6205142885055468,0.1065972100169593,0.0381454871288846,rollout,2,456
reid,100,20,20,0.787200821802928,0.0779041022873208,0.0392619338029476,rollout,2,456
depablo_low_temp,5,20,20,0.8999333727820789,0.0652457696897333,0.0635535199374179,rollout,2,456
depablo_low_temp,10,20,20,0.8741453069849291,0.0937487283816792,0.0890919672458267,rollout,2,456
depablo_low_temp,25,20,20,0.8680727806931594,0.1015564778908379,0.1113451632350467,rollout,2,456
depablo_low_temp,50,20,20,0.9624010719546486,0.0566760640433225,0.121923909291221,rollout,2,456
depablo_low_temp,75,20,20,0.9624655822067688,0.0558635895341731,0.1271388104990921,rollout,2,456
depablo_low_temp,100,20,20,0.945680480234492,0.0684397654574189,0.1309363081666797,rollout,2,456
depablo_mixed_temp,5,20,20,0.272206932651435,0.3343635072953365,0.2267994575756468,rollout,2,456
depablo_mixed_temp,10,20,20,0.3879332257864074,0.2235334900488132,0.1792210970466572,rollout,2,456
depablo_mixed_temp,25,20,20,0.3910094297252294,0.2073500617656342,0.1814265265332104,rollout,2,456
depablo_mixed_temp,50,20,20,0.5777327287391643,0.145696604676471,0.1290510646927359,rollout,2,456
depablo_mixed_temp,75,20,20,0.8392139987810272,0.0996745214455564,0.1721180025747532,rollout,2,456
depablo_mixed_temp,100,20,20,0.8992934878525412,0.0940214315232627,0.1264354805514444,rollout,2,456
lj_noisy,5,20,20,-35.483653215918814,0.1997050628071559,0.0012192600578043,rollout,2,456
lj_noisy,10,20,20,-20.57793761027397,0.2007779739512021,0.0021538442446725,rollout,2,456
lj_noisy,25,20,20,-13.234424582327224,0.2185178193850634,0.0041168599721615,rollout,2,456
lj_noisy,50,20,20,-15.435158474927242,0.2529337818228748,0.0047651600463273,rollout,2,456
lj_noisy,75,20,20,-14.04593479990286,0.2489491552899333,0.0050961142073924,rollout,2,456
lj_noisy,100,20,20,-10.32910060756942,0.2145640637492192,0.0053100823581802,rollout,2,456
reid,5,20,20,0.1676319452913205,0.1152800888871892,0.0215407678341569,ae,2,786
reid,10,20,20,0.4891166631568751,0.1025892453925801,0.0283466184553629,ae,2,786
reid,25,20,20,0.8104232779136902,0.066156304019334,0.0340742914742546,ae,2,786
reid,50,20,20,0.9098321279440093,0.0459584382760013,0.03674579830514,ae,2,786
reid,75,20,20,0.9277663920144624,0.0383298850745772,0.0381454871288846,ae,2,786
reid,100,20,20,0.9030063738932982,0.0455089629305928,0.0392619338029476,ae,2,786
depablo_low_temp,5,20,20,0.3439592122166178,0.1729070382355693,0.0635535199374179,ae,2,786
depablo_low_temp,10,20,20,0.5357466664499211,0.1601526240334948,0.0890919672458267,ae,2,786
depablo_low_temp,25,20,20,0.8018888975338605,0.1076749397913596,0.1113451632350467,ae,2,786
depablo_low_temp,50,20,20,0.9191868730560396,0.0713527501755489,0.121923909291221,ae,2,786
depablo_low_temp,75,20,20,0.9473159125879383,0.0585576296632613,0.1271388104990921,ae,2,786
depablo_low_temp,100,20,20,0.9555438655004532,0.057027359481759,0.1309363081666797,ae,2,786
depablo_mixed_temp,5,20,20,-0.0551846890543175,0.3720142604132671,0.2267994575756468,ae,2,786
