source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,dimension,seed,variant,kind
lj_noisy,25,20,20,0.3769110351520264,0.0414677942712358,0.0041168599721615,2,123,acceleration_transfer3,rollout
lj_noisy,50,20,20,0.3143347542980772,0.0456772335088271,0.0047651600463273,2,123,acceleration_transfer3,rollout
lj_noisy,75,20,20,0.3043069578924832,0.0478872578117392,0.0050961142073924,2,123,acceleration_transfer3,rollout
lj_noisy,100,20,20,0.410843682679906,0.0447764223043468,0.0053100823581802,2,123,acceleration_transfer3,rollout
reid,10,20,20,-0.3659021957636563,0.1738403441467009,0.0283466184553629,2,123,acceleration_transfer3,ae
reid,25,20,20,0.659341566461269,0.0933031553397385,0.0340742914742546,2,123,acceleration_transfer3,ae
reid,50,20,20,0.9159886088699518,0.0454774012213535,0.03674579830514,2,123,acceleration_transfer3,ae
reid,75,20,20,0.9499003888826164,0.0358843972128358,0.0381454871288846,2,123,acceleration_transfer3,ae
reid,100,20,20,0.9345397388711262,0.0403578298276164,0.0392619338029476,2,123,acceleration_transfer3,ae
depablo_low_temp,10,20,20,0.6984139861477674,0.118794167649319,0.0890919672458267,2,123,acceleration_transfer3,ae
depablo_low_temp,25,20,20,0.8391584681985425,0.0953675141129833,0.1113451632350467,2,123,acceleration_transfer3,ae
depablo_low_temp,50,20,20,0.9220891440621836,0.0706310040713297,0.121923909291221,2,123,acceleration_transfer3,ae
depablo_low_temp,75,20,20,0.9536870537129716,0.0601614779059302,0.1271388104990921,2,123,acceleration_transfer3,ae
depablo_low_temp,100,20,20,0.9538723495011292,0.0635195640726381,0.1309363081666797,2,123,acceleration_transfer3,ae
depablo_mixed_temp,10,20,20,0.1786721189241893,0.2874863252751122,0.1792210970466572,2,123,acceleration_transfer3,ae
depablo_mixed_temp,25,20,20,0.5752774417488156,0.222913681232888,0.1814265265332104,2,123,acceleration_transfer3,ae
depablo_mixed_temp,50,20,20,0.5752333601256163,0.1767347826798309,0.1290510646927359,2,123,acceleration_transfer3,ae
depablo_mixed_temp,75,20,20,0.8268776236475286,0.1275866065315361,0.1721180025747532,2,123,acceleration_transfer3,ae
depablo_mixed_temp,100,20,20,0.8738270009515807,0.0965004274004469,0.1264354805514444,2,123,acceleration_transfer3,ae
lj_noisy,10,20,20,-0.4152307307678944,0.0425755142810825,0.0021538442446725,2,123,acceleration_transfer3,ae
lj_noisy,25,20,20,0.4318467863936841,0.0406068045178453,0.0041168599721615,2,123,acceleration_transfer3,ae
lj_noisy,50,20,20,0.5235557873575336,0.041794289850563,0.0047651600463273,2,123,acceleration_transfer3,ae
lj_noisy,75,20,20,0.5249810646190312,0.040825226431456,0.0050961142073924,2,123,acceleration_transfer3,ae
lj_noisy,100,20,20,-0.3388566040756318,0.0772801557203362,0.0053100823581802,2,123,acceleration_transfer3,ae
reid,10,20,20,-0.1976744993930828,0.1581085819003999,0.0283466184553629,2,123,velocity_transfer3,rollout
reid,25,20,20,0.6828496537295082,0.0846250431132361,0.0340742914742546,2,123,velocity_transfer3,rollout
reid,50,20,20,0.889252325731287,0.0501675655679239,0.03674579830514,2,123,velocity_transfer3,rollout
reid,75,20,20,0.9211581072323336,0.042060738037027,0.0381454871288846,2,123,velocity_transfer3,rollout
reid,100,20,20,0.8973806022388697,0.045153463087877,0.0392619338029476,2,123,velocity_transfer3,rollout
depablo_low_temp,10,20,20,0.6540595350756744,0.1402038349170679,0.0890919672458267,2,123,velocity_transfer3,rollout
depablo_low_temp,25,20,20,0.7244109879765972,0.1489573402127375,0.1113451632350467,2,123,velocity_transfer3,rollout
depablo_low_temp,50,20,20,0.8425319517746331,0.1214886419121656,0.121923909291221,2,123,velocity_transfer3,rollout
depablo_low_temp,75,20,20,0.9265125593241046,0.0806931329908223,0.1271388104990921,2,123,velocity_transfer3,rollout
depablo_low_temp,100,20,20,0.9681651000562974,0.0529549654263141,0.1309363081666797,2,123,velocity_transfer3,rollout
depablo_mixed_temp,10,20,20,-0.1201465650232997,0.3427476381162782,0.1792210970466572,2,123,velocity_transfer3,rollout
depablo_mixed_temp,25,20,20,-0.6585757786232576,0.4451031474758208,0.1814265265332104,2,123,velocity_transfer3,rollout
depablo_mixed_temp,50,20,20,-1.5084897647961144,0.4405204611928849,0.1290510646927359,2,123,velocity_transfer3,rollout
depablo_mixed_temp,75,20,20,-0.883853301593903,0.4422653247762588,0.1721180025747532,2,123,velocity_transfer3,rollout
depablo_mixed_temp,100,20,20,-1.3685323943741254,0.4007807114493035,0.1264354805514444,2,123,velocity_transfer3,rollout
lj_noisy,10,20,20,-0.0711973594484862,0.0387173776490389,0.0021538442446725,2,123,velocity_transfer3,rollout
lj_noisy,25,20,20,-0.5013558466951613,0.0638953882950308,0.0041168599721615,2,123,velocity_transfer3,rollout
lj_noisy,50,20,20,-0.6441554408322243,0.0697007854496052,0.0047651600463273,2,123,velocity_transfer3,rollout
lj_noisy,75,20,20,0.0884681061455738,0.0532417525279122,0.0050961142073924,2,123,velocity_transfer3,rollout
lj_noisy,100,20,20,0.2581583680055594,0.0545574670586225,0.0053100823581802,2,123,velocity_transfer3,rollout
reid,10,20,20,-0.3659021957636563,0.1738403441467009,0.0283466184553629,2,123,velocity_transfer3,ae
reid,25,20,20,0.659341566461269,0.0933031553397385,0.0340742914742546,2,123,velocity_transfer3,ae
reid,50,20,20,0.9159886088699518,0.0454774012213535,0.03674579830514,2,123,velocity_transfer3,ae
reid,75,20,20,0.9499003888826164,0.0358843972128358,0.0381454871288846,2,123,velocity_transfer3,ae
reid,100,20,20,0.9345397388711262,0.0403578298276164,0.0392619338029476,2,123,velocity_transfer3,ae
depablo_low_temp,10,20,20,0.6984139861477674,0.118794167649319,0.0890919672458267,2,123,velocity_transfer3,ae
depablo_low_temp,25,20,20,0.8391584681985425,0.0953675141129833,0.1113451632350467,2,123,velocity_transfer3,ae
depablo_low_temp,50,20,20,0.9220891440621836,0.0706310040713297,0.121923909291221,2,123,velocity_transfer3,ae
depablo_low_temp,75,20,20,0.9536870537129716,0.0601614779059302,0.1271388104990921,2,123,velocity_transfer3,ae
depablo_low_temp,100,20,20,0.9538723495011292,0.0635195640726381,0.1309363081666797,2,123,velocity_transfer3,ae
depablo_mixed_temp,10,20,20,0.1786721189241893,0.2874863252751122,0.1792210970466572,2,123,velocity_transfer3,ae
depablo_mixed_temp,25,20,20,0.5752774417488156,0.222913681232888,0.1814265265332104,2,123,velocity_transfer3,ae
depablo_mixed_temp,50,20,20,0.5752333601256163,0.1767347826798309,0.1290510646927359,2,123,velocity_transfer3,ae
depablo_mixed_temp,75,20,20,0.8268776236475286,0.1275866065315361,0.1721180025747532,2,123,velocity_transfer3,ae
depablo_mixed_temp,100,20,20,0.8738270009515807,0.0965004274004469,0.1264354805514444,2,123,velocity_transfer3,ae
lj_noisy,10,20,20,-0.4152307307678944,0.0425755142810825,0.0021538442446725,2,123,velocity_transfer3,ae
lj_noisy,25,20,20,0.4318467863936841,0.0406068045178453,0.0041168599721615,2,123,velocity_transfer3,ae
lj_noisy,50,20,20,0.5235557873575336,0.041794289850563,0.0047651600463273,2,123,velocity_transfer3,ae
lj_noisy,75,20,20,0.5249810646190312,0.040825226431456,0.0050961142073924,2,123,velocity_transfer3,ae
lj_noisy,100,20,20,-0.3388566040756318,0.0772801557203362,0.0053100823581802,2,123,velocity_transfer3,ae
reid,10,20,20,-0.6987439539360414,0.1856947231054718,0.0283466184553629,2,123,delta_transfer3,rollout
reid,25,20,20,-0.0917487207987475,0.1638007608693842,0.0340742914742546,2,123,delta_transfer3,rollout
reid,50,20,20,0.023396595677295,0.1609285045022332,0.03674579830514,2,123,delta_transfer3,rollout
reid,75,20,20,0.0277091113540164,0.1641070260987454,0.0381454871288846,2,123,delta_transfer3,rollout
reid,100,20,20,-0.0068360498374882,0.1690962641471191,0.0392619338029476,2,123,delta_transfer3,rollout
depablo_low_temp,10,20,20,0.4687302058918193,0.1824324428725055,0.0890919672458267,2,123,delta_transfer3,rollout
depablo_low_temp,25,20,20,0.2533362140498464,0.2534360920970745,0.1113451632350467,2,123,delta_transfer3,rollout
depablo_low_temp,50,20,20,0.1430500647665937,0.2915240350123186,0.121923909291221,2,123,delta_transfer3,rollout
depablo_low_temp,75,20,20,0.0788972409057083,0.3092861873659277,0.1271388104990921,2,123,delta_transfer3,rollout
depablo_low_temp,100,20,20,0.023994671212024,0.3209920953435429,0.1309363081666797,2,123,delta_transfer3,rollout
depablo_mixed_temp,10,20,20,-0.1404208580885042,0.33364564191508,0.1792210970466572,2,123,delta_transfer3,rollout
depablo_mixed_temp,25,20,20,-0.0062910411583709,0.3435415431500392,0.1814265265332104,2,123,delta_transfer3,rollout
depablo_mixed_temp,50,20,20,-0.0593381107422414,0.30718924584116,0.1290510646927359,2,123,delta_transfer3,rollout
depablo_mixed_temp,75,20,20,0.2664247363145871,0.2931765918916635,0.1721180025747532,2,123,delta_transfer3,rollout
depablo_mixed_temp,100,20,20,0.2563691027582685,0.2510541380939373,0.1264354805514444,2,123,delta_transfer3,rollout
lj_noisy,10,20,20,-0.5691467613632895,0.0462448155772489,0.0021538442446725,2,123,delta_transfer3,rollout
lj_noisy,25,20,20,-1.4580002228403397,0.0829180428991603,0.0041168599721615,2,123,delta_transfer3,rollout
lj_noisy,50,20,20,-2.0746639204469077,0.0984349216070745,0.0047651600463273,2,123,delta_transfer3,rollout
lj_noisy,75,20,20,-1.3929288256963988,0.0884795524635742,0.0050961142073924,2,123,delta_transfer3,rollout
