split,source,frame,condition,start,total,position_mse,normalized_position_mse
val,lj_noisy,100,optimized_code,normal_1,3,2.8660306270467117e-05,18.90692392985026
val,lj_noisy,100,same_source_same_time_permuted,,3,9.725134987093043e-06,4.751476446787517
val,lj_noisy,100,training_source_time_mean,,3,9.504410021084672e-06,4.6911970774332685
val,lj_noisy,100,wrong_time,,3,3.332146904237258e-05,10.738067626953125
val,reid,5,encoder,,3,4.790007797813208e-08,0.009699221545209488
val,reid,5,optimized_code,encoder,3,2.4528790850316302e-08,0.005884241002301375
val,reid,5,optimized_code,normal_0,3,1.3486671690543517e-07,0.12052718798319499
val,reid,5,optimized_code,normal_1,3,4.4703916065221466e-07,0.4221299812197685
val,reid,5,same_source_same_time_permuted,,3,6.976118290443385e-08,0.012802409318586191
val,reid,5,training_source_time_mean,,3,4.416100137423958e-08,0.009030157855401436
val,reid,5,wrong_time,,3,1.1850494956888724e-05,2.139626145362854
val,reid,10,encoder,,3,9.434367598259996e-08,0.025145995741089184
val,reid,10,optimized_code,encoder,3,6.694300580534218e-08,0.019299151375889778
val,reid,10,optimized_code,normal_0,3,4.753535165491485e-07,0.42929376661777496
val,reid,10,optimized_code,normal_1,3,6.970763024582993e-07,0.6518856982390085
val,reid,10,same_source_same_time_permuted,,3,1.2375219663833073e-07,0.029763684297601383
val,reid,10,training_source_time_mean,,3,8.712980796114304e-08,0.024351999163627625
val,reid,10,wrong_time,,3,2.195191518694628e-05,4.574423154195149
val,reid,25,encoder,,3,6.760594051987331e-07,0.1968675802151362
val,reid,25,optimized_code,encoder,3,6.002101523942353e-07,0.1789382497469584
val,reid,25,optimized_code,normal_0,3,7.07421387839228e-07,0.2799145330985387
val,reid,25,optimized_code,normal_1,3,7.42135758476555e-07,0.31540647397438687
val,reid,25,same_source_same_time_permuted,,3,7.887920219218358e-07,0.22164243956406912
val,reid,25,training_source_time_mean,,3,6.711800703366558e-07,0.20153062542279562
val,reid,25,wrong_time,,3,2.1113818244581733e-05,5.455561637878418
val,reid,50,encoder,,3,3.4210274482878353e-06,1.0177533030509949
val,reid,50,optimized_code,encoder,3,3.1019549548242744e-06,0.9547786315282186
val,reid,50,optimized_code,normal_0,3,3.965980113207479e-06,1.24919855594635
val,reid,50,optimized_code,normal_1,3,4.707985757098261e-06,1.6605403820673625
val,reid,50,same_source_same_time_permuted,,3,4.062214353931874e-06,1.1592443982760112
val,reid,50,training_source_time_mean,,3,3.680902257959436e-06,1.0831990242004395
val,reid,50,wrong_time,,3,1.1422513125580736e-05,2.5941271781921387
val,reid,75,encoder,,3,8.254448857769603e-06,2.844213287035624
val,reid,75,optimized_code,encoder,3,7.831338583249211e-06,2.6048738161722818
val,reid,75,optimized_code,normal_0,3,1.4044904067607908e-05,3.672388950983683
val,reid,75,optimized_code,normal_1,3,1.5822867074651487e-05,3.9078848361968994
val,reid,75,same_source_same_time_permuted,,3,9.248973735035785e-06,3.313800573348999
val,reid,75,training_source_time_mean,,3,8.64241656017839e-06,2.9593377113342285
val,reid,75,wrong_time,,3,2.6065399651997723e-05,6.102137565612793
val,reid,100,encoder,,3,1.6905065725344077e-05,6.251890818277995
val,reid,100,optimized_code,encoder,3,1.5770657531296212e-05,5.624137957890828
val,reid,100,optimized_code,normal_0,3,3.0640040980263926e-05,7.4910783767700195
val,reid,100,optimized_code,normal_1,3,3.0678730884877346e-05,7.6075013478597
val,reid,100,same_source_same_time_permuted,,3,1.9005973323752794e-05,7.144717375437419
val,reid,100,training_source_time_mean,,3,1.7654392346836783e-05,6.51753044128418
val,reid,100,wrong_time,,3,3.933635283222733e-05,9.832102298736572
